user_id,n_points,q,S_unc,S_rand,Pi_max,Rg_km,R,R_rand
2830,10,0.7285067873303168,2.721928094887362,2.807354922057604,1.0,9.720815788202712,0.6,0.14285714285714285
13740,9,0.5256916996047432,3.169925001442312,3.169925001442312,0.1111111111111111,3.065822932092972,0.6666666666666666,0.1111111111111111
177293,7,0.7932222860425043,2.2359263506290326,2.321928094887362,1.0,0.7658301675760418,0.8571428571428571,0.2
227439,6,0.769378603459321,2.2516291673878226,2.321928094887362,1.0,2.5171316835088824,1.0,0.2
233330,9,0.735973597359736,2.725480556997868,2.807354922057604,1.0,0.334796490760094,0.8888888888888888,0.14285714285714285
285119,9,0.7258485639686685,2.6416041678685933,2.807354922057604,1.0,2.5107261038202084,0.7777777777777778,0.14285714285714285
294075,5,0.7486910994764397,1.9219280948873623,2.0,1.0,5.7050493926316825,0.8,0.25
305955,10,0.24843423799582465,2.8464393446710154,3.0,1.0,13.797113923158463,0.6,0.125
311675,6,0.799554565701559,1.7924812503605778,2.0,0.5,2.339319689254113,1.0,0.25
316156,13,0.6971396522714526,3.7004397181410926,3.700439718141092,0.07692307692307693,1.2102687773974166,0.6923076923076923,0.07692307692307693
327586,7,0.7556719022687609,1.8423709931771088,2.0,1.0,1.996264318383996,1.0,0.25
338382,10,0.6916047972587094,3.121928094887362,3.169925001442312,1.0,1.3045039341852713,0.9,0.1111111111111111
347896,7,0.790331974373908,2.807354922057604,2.807354922057604,0.14285714285714285,1.4310276519316631,0.8571428571428571,0.14285714285714285
370688,9,0.7942857142857143,2.94770277922009,3.0,1.0,9.343034438672618,0.6666666666666666,0.125
378731,5,0.0055248618784530246,2.321928094887362,2.321928094887362,0.2,2.39228961003847,0.6,0.2
384259,5,0.3963782696177063,2.321928094887362,2.321928094887362,0.2,2.9833751255363894,1.0,0.2
